Timestamp,pid.Output,real_current,measure.rpm
217580518,128.486,121,6998
217610234,0,560,6998
217642617,-112.626,-527,7002
217674311,0,-238,6993
217704224,157.48,-84,7002
217735197,-158.516,-427,6996
217767972,0,293,6999
217791061,0,-138,6998
217827964,100.47,-64,7006
217859149,73.5607,-605,7005
217891954,8.50129,-31,6993
217923843,196.545,2,7005
217952497,0,233,6994
217979625,222.502,-463,7003
218029910,-42.4992,-105,6997
218065127,-133.429,-61,6999
218093735,99.5078,244,6996
218123914,146.503,289,7002
218155909,12.4858,13,6999
218190202,168.512,27,7006
218221855,145.515,255,7007
218254486,56.5709,36,6995
218283285,74.5201,263,7008
218313631,-66.4795,176,7000
218346673,147.569,193,6997
218377432,265.41,268,7000
218389793,0,313,6995
218414562,0,-370,7000
218453016,-116.34,231,6998
218483921,99.5304,137,7000
218515887,-61.4685,216,6994
218548569,-42.3696,130,6992
218579867,0,-69,7000
218605848,147.541,-147,6997
218634933,99.5389,519,7005
218674062,-17.4681,27,7000
218704074,0,322,6995
218736149,118.689,73,6998
218768098,53.5474,-62,6998
218800648,167.581,66,6999
218831941,-59.4166,407,7000
218864980,121.599,-202,6990
218893935,151.347,-53,7001
218925225,-43.1636,-379,7004
218956065,0,-319,6999
219018211,73.5545,444,6997
219048114,56.5595,695,6995
219079048,-67.4332,550,6997
219112379,-114.37,-181,7003
219143522,75.5847,337,6995
219176148,-112.425,509,7003
219207537,-84.4228,190,6995
219236194,194.577,313,6995
219268365,150.639,-568,6999
219302126,76.582,41,6994
219330953,196.583,145,6998
219363766,-15.4127,174,6994
219395166,100.599,11,7005
219436284,-19.3312,398,6996
219470180,94.5918,242,7003
219502014,53.5981,53,6997
219534596,-88.3917,505,7000
219565208,-181.411,234,6997
219596252,101.598,-322,6997
219653103,73.5814,-263,6992
219686206,-38.4011,557,6999
219717798,-20.5204,-459,6998
219752583,119.572,10,7006
219783764,104.605,428,6997
219814535,148.609,73,7006
219843286,197.388,144,7003
219876285,122.614,276,6996
219904456,46.5338,438,7003
219937683,0,295,6998
219969467,-61.3803,49,7000
220000347,121.616,-654,6995
220023961,-115.375,-52,6998
220058312,-66.3882,-180,6994
220092766,-112.406,-168,6997
220155531,0,-187,7001
220192039,84.4456,240,7004
220241265,122.64,-146,7004
220282055,149.74,84,6995
220311297,72.5479,166,7001
220343622,-22.1859,-279,7003
220374637,149.647,694,6995
220405295,157.647,-108,6997
220472786,122.652,-51,6996
220500072,53.6537,86,6999
220531164,150.552,-322,7007
220564563,53.6574,72,7004
220595495,53.6625,134,6998
220631321,-134.339,116,7002
220659338,121.668,437,6996
220690338,58.6731,246,6995
220722675,122.672,268,6997
220754991,-84.3304,181,7000
220786084,0,23,6997
220816536,0,-284,7000
220842054,167.68,36,7000
220876189,59.6732,-67,7006
220905241,74.685,-168,7004
220937754,99.6803,-210,7000
220970160,55.6835,-54,6996
221004460,-69.316,-67,7007
221067358,8.76361,-26,7000
221095240,-66.4647,-588,6997
221126651,193.765,187,7000
221160603,167.646,280,6999
221197034,76.6995,-189,6993
221238214,0,330,6998
221263254,76.7039,-20,7001
221296282,75.7382,83,6999
221326508,194.232,-2,7001
221360263,192.437,196,7003
221391598,-21.4951,249,7007
221421194,118.846,124,7006
221455648,76.2143,-193,6996
221483781,0,169,6998
221516953,56.713,45,7003
221545727,0,148,6999
221577009,-22.3885,-479,7003
221606572,0,-365,6996
221640450,-177.274,-140,7002
221683155,73.7856,339,6989
221714895,-60.2728,469,7000
221744007,-39.2761,-33,7001
221778671,125.744,-126,7006
221812135,147.739,-207,6993
221842447,-21.1133,455,7001
221873360,176.749,-152,6998
221904070,10.7705,374,6998
221933400,-181.254,-17,6997
221967446,-89.2837,-461,6995
221999301,192.751,-70,6995
222029522,-68.2545,-646,7002
222041847,0,79,6995
222056544,0,-123,6992
222093451,0,430,6999
222124285,0,-8,7004
222154661,72.8777,68,7001
222190558,76.765,47,7006
222233153,-22.066,-7,6995
222295484,118.77,27,7005
222324362,55.7267,278,6996
222355255,146.783,92,6999
222388864,105.778,84,7000
222421484,-43.2899,214,6992
222457186,147.779,96,6999
222482900,-38.2169,666,7002
222512798,76.7834,61,6999
222544633,104.845,153,6995
222578736,197.791,407,7007
222608705,58.8446,-89,6995
222638051,105.716,30,6998
222697617,0,203,7002
222732968,179.763,348,6997
222764542,-181.254,-514,6997
222795522,0,-165,7006
222830114,99.8016,-164,6999
222860489,-15.1943,233,7005
222892899,196.933,26,7004
222922289,58.8071,242,6996
222953243,76.8142,420,7001
222985183,-17.1162,163,7003
223016130,73.7509,-177,6999
223049036,149.83,79,7003
223071870,119.82,-64,7001
223081276,0,-456,7000
223108654,-88.1776,356,6997
223139893,0,170,6996
223170466,147.875,-201,6995
223202752,0,430,6998
223236879,148.844,278,7004
223300930,-23.1643,279,7006
223329663,0,47,7007
223359269,-66.0429,-530,6998
223392603,102.877,368,6995
223424383,86.1017,389,6999
223457951,83.9323,668,6999
223491332,102.87,102,6997
223510827,-84.1521,290,6999
223550381,121.881,-391,7007
223581021,54.81,60,7000
223611777,100.359,307,7005
223642016,95.131,-212,7005
223677104,101.119,-445,6994
223741531,-187.483,117,6997
223769792,100.829,497,6995
223798721,11.9923,164,6997
223831392,-43.4483,115,6992
223865426,79.866,329,6997
223896161,-18.945,575,7006
223926483,148.945,-215,6997
223957297,196.017,199,6997
223989986,75.9205,-73,7005
224019891,-24.123,256,7000
224051415,56.9153,-114,6997
224084937,-68.1186,-88,7000
224127896,76.8861,225,6993
224158323,-88.114,-417,7001
224191992,9.88979,196,7000
224223902,150.84,52,6997
224257249,102.894,476,7000
224289324,-43.1033,230,7001
224321052,-116.103,149,7003
224352745,54.9236,753,6995
224381858,10.9004,286,7007
224413459,-9.1308,-273,7003
224430966,0,-380,6998
224463000,-134.093,-394,7004
224523687,74.9087,-227,7002
224555669,53.9103,-423,6997
224586412,102.946,-404,7007
224624002,0,319,6998
224644078,0,-383,6998
224686435,53.9163,429,7000
224709006,150.92,289,6994
224739517,101.9,141,6995
224775453,-8.25443,89,6995
224805817,-61.0725,408,6999
224841332,146.926,781,6997
224874561,0,318,7006
224902527,145.934,202,7007
224935854,82.9492,233,7006
224961991,99.9366,326,7007
224996510,0,203,7000
225024867,0,-417,6996
225056563,-22.0567,405,6999
225089573,99.944,-34,6996
225112976,-109.008,-298,7001
225187354,100.973,92,6998
225212669,0,-186,6999
225249097,122.953,-420,6999
225279255,121.956,-98,7007
225312434,74.0273,53,7006
225331590,-21.0422,106,7004
225371240,-22.1076,399,7000
225401843,101.959,527,6997
225435248,-57.1278,35,6998
225467010,10.9662,224,6995
225492966,0,209,6996
225532869,121.972,498,6996
225549125,75.9579,-192,7005
225561400,146.988,517,6999
225588221,100.976,-143,7007
225629313,121.977,-438,7007
225670209,118.98,-366,7003
225702630,0,-504,6996
225733108,224.961,300,6998
225761631,0,328,6993
225793344,-112.021,343,6999
225825432,-133.1,192,7000
225856503,146.998,75,7000
225888496,-61.0072,193,7002
225919899,-19.9501,-446,6995
225942230,129.977,197,6998
225950898,-55.9415,-46,6995
225977962,-41.0069,-148,7002
226012494,73.8197,140,6999
226042340,130.44,-219,6999
226072713,146.006,-513,7004
226105461,-24.7615,-166,6998
226154627,0,241,7000
226176648,102.16,97,6996
226212509,95.1823,157,6999
226241750,-184.434,-249,7000
226281593,-111.512,564,6999
226306493,-42.275,-244,6999
226341469,146.025,-52,6999
226403277,82.2431,-388,6999
226432134,157.399,78,7007
226459402,-132.087,-37,6999
226489171,168.061,50,6999
226519164,55.049,138,7000
226555604,54.0313,-107,6998
226590045,9.02327,78,7007
226620190,54.0326,130,6996
226649588,149.034,266,6999
226683671,102.029,-343,6998
226712413,74.108,168,6992
226746721,103.113,-606,6994
226769864,-42.9609,-146,6998
226805379,195.076,703,6998
226836703,-42.9557,118,6999
226868512,122.047,-164,7007
226899359,0,-586,7000
226933905,75.0519,-15,7001
226965775,0,115,6999
226988688,54.0566,148,6994
227027100,-115.94,-182,7006
227055638,54.0597,338,6999
227088554,-111.972,-45,6998
227118590,76.0626,34,6997
227149074,133.163,-67,6995
227180799,57.0655,91,6998
227202278,-38.9327,-63,6997
227244773,101.043,-80,6999
227275046,-20.9285,421,7001
227307472,149.139,-183,7004
227336181,57.0681,-190,6995
227369524,146.078,-147,7007
227398479,-21.7545,306,6998
227430037,75.0757,174,7005
227459928,-113.867,94,7005
227492341,10.0346,261,6996
227522595,-180.915,492,6997
227554467,100.088,191,6995
227577047,11.088,195,6999
227615640,-132.911,27,6995
227645073,146.095,205,6994
227678539,-55.8523,108,7004
227708543,-85.9031,441,6996
227741087,72.1189,-238,6999
227772853,100.103,-93,6994
227817532,268.917,-175,7005
227846965,56.1039,154,6999
227882477,-132.898,267,7000
227914508,-180.945,278,7000
227944688,147.117,112,6995
227976536,131.108,483,6997
228007707,-40.8976,-167,7002
228038862,195.12,-408,7000
228068849,-42.8593,-14,6998
228101164,102.139,-545,7006
228132236,196.167,298,6995
228164583,75.1217,-21,7007
228193261,-60.877,-320,6998
228227407,57.0912,-30,6995
228254897,-58.8731,122,6999
228288890,-88.873,201,6995
228320145,75.1322,67,6992
228353280,0,-330,7004
228398512,133.037,6,6997
228409438,74.1449,-200,7004
228446009,-40.8422,163,7001
228475175,75.144,-48,7006
228513943,59.319,311,6996
228538485,-66.5852,727,7001
228570473,-22.3549,-341,7003
228604149,149.047,-42,7003
228625164,-21.2198,-715,7005
228662547,102.297,118,6995
228693881,158.563,-395,6997
228726861,0,119,6999
228759377,0,256,7006
228789991,-129.852,-59,6997
228818875,0,-384,6999
228850391,0,313,7000
228882350,103.994,64,6995
228919281,119.971,497,7009
228945458,103.084,24,7000
228978650,-69.5225,-106,6999
229023602,-113.53,-156,6998
229054674,146.909,-156,6997
229088756,-57.9032,-138,6997
229117863,146.165,-210,6990
229147761,101.2,-97,6998
229181065,84.7351,150,7004
229205658,-60.8302,385,6998
229239777,0,109,6997
229272925,197.04,119,7004
229306092,-113.595,-239,7004
229339965,0,430,6997
229371753,-114.552,520,6995
229403119,147.166,-57,6999
229436557,75.2969,269,6994
229466080,54.1828,277,6999
229497428,151.363,253,7001
229528578,54.1881,-36,7003
229550352,0,-580,7004
229588189,-55.8091,138,6998
229612863,150.192,63,6996
229653704,75.1969,-117,6995
229684078,105.198,-276,7003
229715950,148.2,-239,6993
229748345,75.2009,220,6994
229782771,-131.797,-129,6996
229812800,148.229,199,7006
229856172,57.1928,170,6995
229890352,75.2112,208,6998
229923079,129.106,-3,7003
229955096,102.126,188,6998
229985994,155.105,133,7006
230019383,0,-29,6995
230048963,72.2216,-129,7004
230081324,-132.777,-105,6996
230146891,76.2183,179,6997
230173458,-37.7812,-173,7004
230203995,150.222,404,6997
230250854,122.225,284,7005
230280055,0,298,6998
230311383,54.2295,287,6993
230344194,-20.7647,91,7007
230373905,-115.771,212,6999
230406997,-130.762,-184,6997
230469110,131.492,-60,6995
230497180,-60.7589,63,7002
230530990,-37.756,-670,7002
230562472,195.254,162,7001
230594514,150.227,-153,6995
230628411,122.224,564,7004
230655712,150.251,259,6995
230686868,-20.7482,237,7005
230719325,177.274,-82,7005
230750072,59.3239,241,6996
230781084,-66.8006,531,7005
230811089,-23.88,-126,7005
230869512,77.2624,209,6997
230901021,147.261,-194,7000
230934435,152.268,-444,7001
230967275,-37.7317,88,7005
230998810,72.2183,-568,6999
231032146,105.155,79,6998
231061159,73.2755,14,7009
231092864,-60.725,24,6997
231121585,-106.723,150,6997
231155651,0,-39,7003
231188908,54.2817,-282,7000
231216747,-23.7255,453,7005
231242063,-37.7202,-21,6997
231279885,181.254,307,6995
231309309,-105.719,-160,7000
231341081,77.2895,184,6994
231373898,151.207,-537,6997
231405437,0,-210,7004
231436588,147.294,144,7007
231447131,-85.6874,7,6999
231477373,75.2498,60,7004
231512846,225.634,144,7005
231544292,100.299,92,6995
231577189,11.0802,68,7005
231610007,77.3062,125,6998
231639560,147.34,350,6995
231669938,-132.799,204,6997
231701019,74.1995,48,6997
231732033,77.3087,119,6999
231765734,-37.6887,-360,7001
231793829,150.128,-194,7006
231828536,77.3153,-75,6996
231869044,141.477,-309,7003
231904179,0,-166,6996
231936887,-106.681,-456,6998
231966716,-177.593,-234,7003
231999978,-88.514,-257,6996
232032351,76.3284,13,7003
232074283,10.3307,97,7006
232110877,119.287,-80,7003
232143429,-20.6438,711,6996
232174251,0,204,7004
232201247,151.407,306,7000
232236904,77.34,300,7000
232268097,123.343,640,6996
232291809,103.343,35,6995
232328076,-180.714,-287,7005
232359161,-131.702,392,6994
232391933,146.347,-675,6995
232422632,-129.652,33,6996
232455872,76.2922,-308,6996
232487073,55.3498,-231,7004
232516734,77.3551,466,7006
232548003,0,-342,6998
232579096,-21.7043,343,7007
232609739,-20.6212,-193,7007
232673606,121.328,-82,7007
232702253,0,576,6998
232732317,0,739,7000
232764458,-115.744,-248,7000
232795772,-40.627,170,6992
232826353,180.383,-306,6999
232859481,60.3348,178,6998
232889259,74.3734,-112,7000
232919719,60.3799,171,7004
232949960,74.3889,28,7008
232983294,0,-417,7000
233014097,54.386,-127,6998
233063058,57.3887,-68,6996
233089204,102.391,180,6993
233124651,-132.538,-436,6996
233154712,150.302,174,6998
233194784,148.491,89,7000
233236300,-60.6012,320,6999
233267614,123.4,-125,7007
233279093,-131.626,149,7004
233306614,0,-385,7004
233343723,74.388,128,7003
233375388,0,337,6994
233403200,73.3242,-220,7008
233437488,149.412,153,6998
233471684,-67.6179,593,6998
233499843,-130.599,109,7003
233530110,-137.443,-30,6998
233563389,158.694,188,7001
233593986,-83.5829,32,6996
233623741,0,253,7000
233656219,148.422,-456,6996
233679717,77.4232,-202,7004
233718797,55.4162,57,6999
233747065,-19.5622,-332,7006
233781294,139.406,-188,7007
233812044,57.4691,73,6996
233842682,-113.4,58,7001
233875701,0,357,6994
233898049,149.459,29,6998
233935294,132.625,575,7001
233969128,83.4367,163,7006
234002267,103.436,-287,7006
234034868,-19.1695,-620,6995
234065554,52.9598,-169,6995
234098925,52.2699,-82,6999
234111522,-38.0348,232,6994
234136013,0,72,7000
234174490,-67.7959,28,7003
234204074,-110.592,-178,6998
234234297,193.429,-10,6999
234268639,0,-147,6996
234301523,73.6271,-455,6996
234330638,-7.90725,-376,6998
234362666,74.9431,163,7000
234391316,55.4838,193,6999
234422427,9.40136,-112,6993
234458000,-22.9297,-311,7007
234489322,74.9397,298,6994
234511430,-66.5311,-3,7001
234549582,-60.527,355,7000
234582405,148.48,359,6990
234615814,123.478,231,6997
234646524,106.481,-172,7004
234679392,122.479,28,6997
234711033,0,-357,6993
234751839,119.486,473,7008
234787783,102.49,-221,6996
234817581,0,60,7000
234848982,-130.48,-571,7003
234882238,-40.5005,-216,6994
234919226,-57.5001,76,6996
234944878,-83.498,89,6995
234975325,102.504,248,7004
235008634,86.6028,393,7004
235037339,76.5071,165,7007
235069199,0,426,7000
235170225,55.5113,-103,7007
235195892,-21.61,-52,7007
235223472,8.51684,-121,6996
235253605,-113.895,77,6999
235286327,-132.48,-241,7000
235321625,74.4482,32,6992
235349388,194.566,56,7000
235382744,132.526,-349,7006
235412997,146.527,-495,6997
235445347,-41.4719,387,6999
235474258,149.547,251,7006
235505703,-42.5249,15,7000
235531298,10.5339,-107,6995
235569557,225.52,145,7003
235597739,76.535,277,6995
235632919,123.54,266,6999
235663924,-57.4909,314,6997
235695186,147.561,-195,6998
235727009,-83.4537,328,7001
235771785,120.528,442,6993
235802209,14.5478,47,7000
