Timestamp,ref_rpm_1,Timestamp,sht_controller[1].pid_speed.Output,Timestamp,sht_motor[1].measure.real_current,Timestamp,sht_motor[1].measure.speed_rpm,
10886057,7000,10886057,-89.109,10886057,-6,10886057,6996,
10913750,7000,10913750,230.89,10913750,391,10913750,6990,
10945684,7000,10945684,168.775,10945684,109,10945684,6995,
10980235,7000,10980235,91.938,10980235,241,10980235,6999,
11009607,7000,11009607,111.934,11009607,320,11009607,7002,
11043013,7000,11043013,93.9451,11043013,-442,11043013,6993,
11074572,7000,11074572,-49.2167,11074572,559,11074572,7005,
11105365,7000,11105365,-49.8392,11105365,-409,11105365,6993,
11136108,7000,11136108,-50.0305,11136108,-76,11136108,6999,
11164977,7000,11164977,164.924,11164977,240,11164977,6998,
11235761,7000,11235761,0,11235761,-500,11235761,6994,
11273684,7000,11273684,163.964,11273684,-65,11273684,6996,
11305779,7000,11305779,0,11305779,199,11305779,6998,
11337075,7000,11337075,117.024,11337075,-552,11337075,7003,
11367995,7000,11367995,186.994,11367995,69,11367995,7000,
11406061,7000,11406061,92.01,11406061,-9,11406061,7001,
11425250,7000,11425250,112.213,11425250,15,11425250,7003,
11466767,7000,11466767,71.057,11466767,-148,11466767,6994,
11494449,7000,11494449,140.066,11494449,342,11494449,6995,
11528984,7000,11528984,-48.9901,11528984,148,11528984,6993,
11558166,7000,11558166,140.081,11558166,-563,11558166,6991,
11588179,7000,11588179,72.0894,11588179,-235,11588179,7000,
11653331,7000,11653331,-117.894,11653331,400,11653331,6995,
11678335,7000,11678335,140.115,11678335,-519,11678335,6996,
11709762,7000,11709762,192.099,11709762,180,11709762,6998,
11740901,7000,11740901,-50.8635,11740901,292,11740901,6993,
11773910,7000,11773910,-48.8627,11773910,21,11773910,6999,
11808495,7000,11808495,94.1444,11808495,234,11808495,6992,
11830422,7000,11830422,120.203,11830422,124,11830422,6998,
11875560,7000,11875560,-16.9297,11875560,174,11875560,6998,
11900215,7000,11900215,45.1726,11900215,8,11900215,6991,
11930859,7000,11930859,89.1327,11930859,727,11930859,6995,
11967356,7000,11967356,0,11967356,262,11967356,6998,
11991542,7000,11991542,118.209,11991542,656,11991542,6996,
12022867,7000,12022867,165.201,12022867,-210,12022867,6998,
12048161,7000,12048161,137.174,12048161,-134,12048161,6995,
12063992,7000,12063992,168.232,12063992,-247,12063992,7000,
12100463,7000,12100463,25.2241,12100463,-37,12100463,6991,
12133897,7000,12133897,-96.847,12133897,-458,12133897,6999,
12164885,7000,12164885,140.242,12164885,224,12164885,6998,
12203294,7000,12203294,101.371,12203294,53,12203294,6997,
12227803,7000,12227803,-20.7427,12227803,178,12227803,6998,
12261238,7000,12261238,0,12261238,108,12261238,6999,
12292621,7000,12292621,-70.7268,12292621,-299,12292621,6998,
12319834,7000,12319834,0,12319834,747,12319834,7002,
12354319,7000,12354319,93.2894,12354319,-570,12354319,6997,
12384466,7000,12384466,20.2973,12384466,162,12384466,6996,
12416089,7000,12416089,0,12416089,193,12416089,7003,
12465466,7000,12465466,73.2468,12465466,517,12465466,6993,
12494061,7000,12494061,238.326,12494061,239,12494061,7000,
12522162,7000,12522162,47.3335,12522162,357,12522162,6996,
12554419,7000,12554419,102.342,12554419,583,12554419,6998,
12587527,7000,12587527,0,12587527,131,12587527,6999,
12623580,7000,12623580,91.3576,12623580,461,12623580,6995,
